,features,label
3340,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo i think he know dead vote what point are posit there may elect upper hous also soon join,NONE
2361,wtf nonsens go countri anyth happen you still think democraci loong kill murder thrash,HOF
4755,look insensit piec shit ek gas cylind isk gand bitha k chod dena chahiy ramdev baba ki gand fat gayi yazz bhai ramzan hai kyun sab ka naam kharab kart ho gandi baat kar ke aur bhi log critic kar rahe hain par aapka level itna nich kyun,NONE
1336,modi coward psycopath free wifi lac cctvs new school new colleg iska kya hua adhbhakt dekh aaj delhi kaha hai tera tweet dekh mc,HOF
2189,wow it cell patholog liar and sore loser #bengal दिल्ल जन कह ऑक्सिजन नह मिल aap के विधायक ऑक्सिजन मिल दिल्ल ऑक्सिजन कम सबस बड़ वजह aap ने जमाखोर है।,NONE
5265,public fight covid pm fight elect as mamata banerje play ludo elect campaign wheelchair,HOF
5171,public fight covid pm fight elect but pm nah toh pm care fund leke baht huy hai jumma nawaj pe rok kyun nahi lagai abtak momta didi ne,HOF
4011,india need vaccin so i video explain benefit pleas upload studi show import fulli vaccin soon possibl,NONE
2246,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र आवास योज घर मिल महिल पत नह ठीक ना,NONE
3802,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm you belong genus famili,NONE
5559,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon रात बज zee न्यूज मेर दिव् साल बेट ओम साल बेट पढ़ पूर के रोज शेड्यूल नु dna देख हैं। हर रोज़ मां मुझ पूछ क्य नह आए सुधीर सर जल्द जल्द स्वस्थ मेर उम्र आपक लग जय यह मह प्रार्थ 🙏🙏 kyon bachchon ko bigad rahe ho uncl bachakar rakha karo tihari aur usk nafrati factless mansoobo se bachchon ko aashish,NONE
1171,charli hebdo publish do stand franc saar all say yes i would say pictur tweet handl doe god produc oxygen 😂 😂 better fair critic idiot countrymen,HOF
3365,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo even death certif,NONE
4189,india need vaccin the peopl tamil nadu given less vaccin bad thing central govern act state accept bjp state govt buy vaccin,NONE
1422,disrespect way possibl fuck india fuck modi #farmersprot it it burn ass,HOF
2686,do think china corona virus origin lab wuhan china soon world superpow this us kill afghanistan the unit state must acknowledg fact china number one futur ch i look forward way superpow china would deal middl east i'm sure approv solut uighur,NONE
3044,the countri desper need vaccin save live but goi busi fight twitter it minist work vaccin or find anoth better vaccin what expect time sab apk jais talent nahi hote na madam jo ndtv amp harvard univers dono jagah kaam kar le tumhara toh health minist bhi work vaccin,HOF
5437,oxygen requir today sc hear matter next week citizen tv anchor bail hear suprem compromis,HOF
4758,just india sent assist unit state hospit strain earli pandem determin help india time need good move mr presid,NONE
1464,stop predict dear bot what predict 🐍 it clear want support no your hatr clear,NONE
874,ration countri 😂😂😂😂😂👇👇👇👇 you bloodi terrorst,HOF
2297,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र बेट पा समझ दे,HOF
2643,you fuck them amp that was the worst thing you ever did #isreal sameet not sure reason gaza attack israel intens ani power countri back sameet israel open economi success vaccin campaign one good reason violent attack,NONE
3578,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm block oxygen suppli bjp rule state protocol televis pm cm meet mehta दिल्ल के cm पत नह oxygen air lift इंडियन एयर फोर्स ना उन्ह खबर oxygen खास ट्र चल चुक । cm दिल्ल pm आइड दे थे। under inform cm😐,NONE
4967,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc tiokit अंकल 😆😂😂 #congresstoolkitexpos #congresstoolkit,NONE
1251,भक्त के मुताबिक मोद योग देश के बाप बोल योग मोद देश के पाप है😜 swara ईन ने के चक्र गरीब लोग मर रेल्व हर कर्मचार छोट सब के सब मोद नाराज,NONE
4486,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। terai pass itna cylind aaya kaha sai bhai jara kejribaw ko bata detai,HOF
840,ration countri acha tho gaya corona,NONE
3994,india need vaccin yes ma'am india need vaccin doctor facil,NONE
581,cow urin disgust camel urin wowww #pragyathakur thank katlulibhakt🙂,HOF
204,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood if u said made dirti joke women i ud support u heart hear but ad dalit women that cheap mental friend he castiest u r,NONE
1641,भाज के ने गाँव क्यूँ नह कोरों भय स्वागत डर राहुल गांध गांव जाय गांव bjp जाएग सत् मल मिल गांव जा सत् जाए,NONE
2014,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् औरत मर्याद सार हद पार,NONE
905,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 isko milna hoga uns 😂😂,NONE
631,proud hindus take shit whole new level mr prof ji plz open ur eye close hatr hindhus hindhus use cow dung cake hawan yagna along cow ghee dimag mein ooont ka gobar hai kya,HOF
4024,india need vaccin wo toh modi ne videsh bhej diya,NONE
1974,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् shame shame,NONE
162,watch video randeep hooda make dirti joke nation leader mayavati dalit woman voic oppress no toler castiest peopl arrest #arresterandeephood can translat hindi,NONE
4112,india need vaccin india hate jehaadi,NONE
3906,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser #ranaayyub chorhai,HOF
5157,public fight covid pm fight elect nd may end cruel rule islamist amp bangladeshi west bengal pm fight elect pm win elect tmc politician muezzin mosqu elect got #pracharmantri instead #pradhanmantri,HOF
4213,india need vaccin india need journalist,NONE
617,proud hindus take shit whole new level gobar bhakt kahi bhi chale jaay gobar hi raheg,HOF
875,ration countri तुमक rss bjp पसंद नह पत तुम्ह im lt dtm simi पसंद दिमाग काल अंग्रेज के गुलाम तुम्हार गल नह अल्लाह दुआ करूँग के काल अंग्रेज सद बन ताक देश जान पाए सच्च,NONE
1431,stop predict dear bot i but i never seen say good thing govt may falter area india great countri next time pls write someth good world read nobodi read bullshit she brag twitter,HOF
2973,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind srivatsa free take decis we depend countri authoritarian democraci toler thing bad india we stood ground firm ban chain app it anoth matter anti india congress stood chain old man discuss constitut right free speech express don't blind fake patroit #istandwithtwitterindia,HOF
3848,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser the🐍cal #ranaayyub #noodlehairbibi born around # feb se grew fast amp use charm bed socialwork stori her birth amp stori therein hs strip #milord supremecourt she close freethink nd mom 😎,HOF
547,cow urin disgust camel urain good chamch #pragyathakur gobsmack finger lick,NONE
4541,look insensit piec shit yo wtf vidhan arey arey 😂😂😂,HOF
5214,public fight covid pm fight elect you mamata play ghar ghar home,HOF
4831,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist where our vaccin 🙄 बददिमाग बच्च vaccin नहीं।,HOF
4267,you may think even someon opposit ideolog help human but human human poison snake this vinod dua said atal bihari vajpaye ji die they even spare dead cheer bjp worker kill he profession pet dog raj mata,HOF
3455,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo it,NONE
3221,बि एम्बुलेंस चोर वाल भाजप चोर आजाद घूम है। चोर पर्दाफाश वाल पप्प यादव गिरफ्तार है। नीतीश सर शर्म करो। पप्प यादव तत् रिह करो। #releasepappuyadav तीनटंगव सर देख विपक्ष के ने धरातल आय नह हरेक जगह पहुंच लाइव सर असल पुर देश दिख पुर देश नीतिश मंगल पांडेय एनडीए थूक गिरफ्तार रे चुत #releasepappuyadav,HOF
4678,look insensit piec shit the chutiya nobel prize winner,HOF
2856,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru the entir rw depend east india compani spread hate make per tweet even british rule rw bed game were born today if rw like east india compani join swadeshi koo app,NONE
1861,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona अंधभक्त अंधभक्त अंधभक्त अंधभक्त अंधभक्त अंधभक्त अंधभक्त,HOF
2659,you fuck them amp that was the worst thing you ever did #isreal sameet in mumbai i tri get vaccin slot week alway say book i log exact time vaccin slot open never manag book appoint wherea celebr get vaccin everyday sameet what time open slot dear i want tell one relat,NONE
5268,public fight covid pm fight elect cm neither fight covid elect fight central forc polit dead bodi,HOF
640,स्वामीनारायण संप्रदाय bap के अमेरिक बन मंदिर दल मज़दूर ग़ुलाम कर के केस जाँच fbi स्थाप भग नह यूप जन्म घनश्याम पांड थी। sc st obc संस्थ प्रमुख नह बन सकता। चंद श्रम दान हैं। googl microsoft appl delloit dell आरक्षण दिल बहुजन बस ट्वीट है। आपक कसम बाब साहब नह आपक आत्मदाह होग बहुजन समाज के नह मान चाट हैं।।,HOF
5674,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon befor busi becom nightmar 🏻 ♂,NONE
3885,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser basic earn defam india top fake fund raiser,HOF
5606,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon some comment sudhirji most inc support hospit hai ramdev se ilaj karwao jaldi thik ho jayega bol gaumutra ka kaam ramdev ka roj ka,HOF
637,proud hindus take shit whole new level if anyon arriv india caught carri cow dung make eat dung cake,HOF
4686,look insensit piec shit this dhogi,HOF
4306,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। tum logo ne game kar diya dilli ka murder and baki state ka #bjp ne,HOF
2308,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र बसं मान 😆😆😆,NONE
3937,can't see sudhir bhai like 💔 dear god pls free pain 🙏🏿 prayer need sab apn mann mein hi prarthana karen सुधीर भाई,NONE
3470,our prayer #kanganaranaut get well soon पत लो तुम्हार नौटंक ध्य आकर्षण के सच भग इसक दिमाग जल्द ठीक करें🙏🙏 gattu dekh tere repli se teri condit pta chal rahi sulgaai hui thi kangna ne teri,HOF
2096,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् the way ladi speak disgust live debat carrier would soon otherwis also congress spokesperson hv alway reluct come live debat fear backlash stop come consider period time #galiwalimadam,NONE
4453,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। apn muh miya mithu,HOF
4002,india need vaccin yes ma'am india need vaccin doctor facil khan kagaz ke bina vaccin nahi milega,NONE
1372,modi coward psycopath rais voic injustic but i feel way respond unbecom constitut post hold sir view mr pms statement gj elect,NONE
3688,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm ma'am i would like host debat pleas consid 🙏🏻 hmmm sound good trust man come winner,NONE
921,लो कह आसाराम बाप जेल निकाल भोल मासूम 😂 😅😅😅,NONE
546,cow urin disgust camel urain good chamch #pragyathakur vo theek hai mere bhai urin ki spell sahi likh dete,HOF
1449,stop predict dear bot stop predict pakistani inde fix 😌,HOF
2804,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक abey chooooo samaj ke liy akkal ki jaroorat hai jo tere paa nahi,HOF
2610,madarchomd palestin if swara bhaskar support realli deserv israel #indiastandswithisrael #indiastandswithpalestin,NONE
1900,pleas identifi admonish bigot bigotri deserv love forgiv it deserv utmost honesti fearless if oppos bigot tomorrow becom cm put jail wors voic freedom mind don't kind evil siddharth yogi bigot,HOF
2757,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक pick one quot mani not cool,NONE
2028,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् कांग्रेस पार्ट तुरंत निज खर्च मह प्रवक् सुप्र जी मानसिक इलाज कर पूर्ण रूप गड़बड़ चुक है| पात्र जी बोल दे महिल कार्ड खेल शुर जाता|| puri congr nanga nach suru kar deti,NONE
2301,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र किसान के प्रधानमंत्र जी के बड़ मदद किस सम्म निध,NONE
1885,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona variat of paramet || second order linear differenti equat with variabl coeffici,NONE
1642,भाज के ने गाँव क्यूँ नह कोरों भय स्वागत डर राहुल गांध गांव जाय गांव bjp जाएग सत् मल मिल गांव जा सत् जाए गध नह मालूम सवाल किसस है।,HOF
972,sheer injustic happen innoc sant shri asharamji bapu he fabric bogus case the said girl major time we demand justic bapuji #अन्याय सार हद पार ohh so minor crime commit right c'mon man trust least judici bodi rather accus let remind mani bogus case u say still trial,HOF
5515,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon बस दिन जल्द ठीक हो वापस लौट 💐 #godimedia khatm karo desh bachao चाट कोरोनिल भेज 😂😂,HOF
2097,दिन देख बाक़ रह tv डिबेट गल शब्द प्रयोग जाएग बस माँ बहन गाल हाई बाक़ रह गय संस् मेलाफाइड ट्वीट ओछ हरकत भाज के राष्ट्र प्रवक् साख गिर,NONE
4985,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist फर्ज तुम्हार pm पा फर्ज हमेश कागज फर्ज #bjptoolkitexpos inc non sens,NONE
4376,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। 😂😂😂😂,NONE
5156,public fight covid pm fight elect nd may end cruel rule islamist amp bangladeshi west bengal pm fight elect pm win elect tmc politician muezzin mosqu elect and bjp politician start drink gaumootra tere jeso ke karan hindu dhrm ka kuch bhala nhi hua aaj corona se hindu nahi mar raha,HOF
5699,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon हजार sscgd medi fit युव आशीर्वाद जरूर सुधीर साहब। ट्वीटर दिनांक जून बज रिट्वीट जरूरत पड़ हजार परिवार दुव के लिए। आजम देख उम्मीद जल्द स्वस्थ हो हमार होंग 🙏 crpf #appt medifit sscgd,NONE
836,ration countri few paid demean hinduism give chanc comedian like kunal danc,NONE
601,cow urin disgust camel urin wowww #pragyathakur know spread lie urin use medicin use idiot ideolog claim everi diseas curabl someon claim camel urin cure covid,NONE
2184,friend rememb one thing so call gandhi famili end day कौड़ के गंद नाल के कीड़ sahzad amp sahzadi never forget amp never forgiv the dynast get back daramebaaz aurat gandgi ink dimaak sayad pagal ho gay jai hindustan,HOF
4562,look insensit piec shit two feku singl frame,HOF
3227,बि एम्बुलेंस चोर वाल भाजप चोर आजाद घूम है। चोर पर्दाफाश वाल पप्प यादव गिरफ्तार है। नीतीश सर शर्म करो। पप्प यादव तत् रिह करो। #releasepappuyadav डाक पकड़ हिम्मत नह चल सेवक डर शर्म कर नीतीश कुमार जी #releasepappuyadav,NONE
4928,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist पूर प्लानिंग पैनिक फैल,NONE
1582,supriya shrinat call sambit patra naali ka keeda even keeda ethic when sambit call naagin saanf can't she said keeda she repli languag that and gobar patra label uncultur he realli keeta not naali ka keeda gutter ka keeda add also okay then let see gobar patra fan say,NONE
4883,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist imag still concern imag shame u,HOF
4244,you may think even someon opposit ideolog help human but human human poison snake this vinod dua said atal bihari vajpaye ji die they even spare dead cheer bjp worker kill vinod dua hatr reduc even icu bed in sab ko medanta bed kais milt hai afford,NONE
3541,agar pilot cockpit main cycl ka handl leke baitha ho toh hum kya karein gn cuti abe tuchiy cycl ka handl ho ta plane hawa main nahi hota,HOF
1070,all muslim christian peopl make fun hinduism charli hebdo cartoon know offens peopl rais question god capabl make oxygen help human first import thing koti mean type god hinduism tree also worship india except tree els produc oxygen i total agre worship kind god mountain tree anim bird river stone,NONE
1775,ok liber anti hindu depend whether talk liber rana sagarika etc peopl believ liber valu as hindu cours you anti hindu averag desi liber capit l hypocrit snobbish sjw whose core job outrag op ed,NONE
5514,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon बस दिन जल्द ठीक हो वापस लौट 💐 tu aur ye dono bhi jau hell,HOF
1283,भक्त के मुताबिक मोद योग देश के बाप बोल योग मोद देश के पाप है😜 swara देश पत नह अन्ध्भक्त के बाप ज़रूर 😋😋चड्डिचोर,HOF
4434,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। badhai ho imraan bhai keep,NONE
4184,india need vaccin कागज दिख पड,NONE
5455,oxygen requir today sc hear matter next week citizen tv anchor bail hear it time given govt manag situat sc justifi,NONE
1836,भारत रेलव के ऑक्सीजन एक्सप्रेस अभिय वीं रेल यात्र पूर ली है। रेलगाड़ मीट्रिक टन ऑक्सीजन गतिम हैं। देश भर अधिक टैंकर के माध्यम मीट्रिक टन मेडिकल ऑक्सीजन पहुंच है। #indiafightscorona help sir,NONE
4856,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist where our vaccin 🙄 vaccin abi aaya khan hai baccho ka,NONE
1019,this critic welcom i sure hindu go charli hebdo offic kill peopl that big differ who told million god hindu,NONE
970,sheer injustic happen innoc sant shri asharamji bapu he fabric bogus case the said girl major time we demand justic bapuji #अन्याय सार हद पार fasi sale ko,HOF
1326,modi coward psycopath i understand frustrat tweet much bad pm countri also good pleas calm bure logo pr bure hi tweet mileng wo log accha kya jaan ghotalebazz,NONE
5288,oxygen requir today sc hear matter next week citizen tv anchor bail hear wb tv 📺 channel expos bjp govern mismanag fiza peopl sit power question present situat,NONE
475,and modi #bhakt busi drink gaumutra cover cow dung #bhakt isisi al qaeda ansar al islam boko haram taliban islam jihad union jaish e moham lashkar e taiba lashkar e jhangvi mujahidin tehrik e taliban pakistan al shabaab ansar ul islam etc mani more belong one religion think islamophobia,HOF
2810,just realis #twitterban news made mani #tukdetukd gang becom pro modi sudden worri abt wellb concern also want suffer repercuss such love modi unseen आपक दुक nana g baa kijiy,NONE
5664,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon जी बेहद बुलंद हौसल के अच्छ सच्च इंस । जल्द पूर स्वस्थ हो लौट पूर्ण विश् तह दिल दुआ हैं।,NONE
1651,भाज के ने गाँव क्यूँ नह कोरों भय स्वागत डर लट्ठ तेल पिल के राख रख् 😜😀🙏,HOF
5329,oxygen requir today sc hear matter next week citizen tv anchor bail hear suprem court heard arnab goswami bail plea holiday suprem court hear matter oxygen shortag countri current face next week let sink they heard yakub memon plea let that sink in,HOF
4903,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist is imag modi import india mr patra what wit second wave modiji overconfid imag import chup kar kamin jo kaam kare uska imag kharab karog kaam kais hoga bas karo aoni bakwaa sabki toolkit bahar aa gaye hai kamino,HOF
2528,बाप साउद के ऑक्सीजन जी बेट इज़राइल के तेर अब्ब के पिछवाड़ मोद वैक्स लग शर्म ट्रक ऑक्सीजन भेज उस उसक पत करोड़ भिखार रह हिंदुस्त जिनक घर बार देश नही😠 speak s gautam sahi baat hai 👏🏻👏🏻👏🏻,HOF
3386,if covid vaccin certif hon ble pm photo death certif die oxygen also carri photo this photo go he right forc us use photo certif like,NONE
3220,बि एम्बुलेंस चोर वाल भाजप चोर आजाद घूम है। चोर पर्दाफाश वाल पप्प यादव गिरफ्तार है। नीतीश सर शर्म करो। पप्प यादव तत् रिह करो। #releasepappuyadav #releasepappuyadav #releasepappuyadav #पप्प यादव रिह कर #पप्प यादव रिह कर #westandwithpappuyadav,NONE
5434,oxygen requir today sc hear matter next week citizen tv anchor bail hear how jail arnab block oxygen may suprem court forc hear case today,NONE
1373,modi coward psycopath rais voic injustic but i feel way respond unbecom constitut post hold absolut right,HOF
739,abe kapoor khandan ke najayaz wari ek bap kam tha jo ab israel ko baap bna baith ho khud ke ghar aag lga ke chle dusr ke ghar thik krne tum wahi sab ho jo rapist asharam ke gufa aashirwad lene jate aur netanyahu ke mohammad ali those fuck jihadi ass indian alway wd decid u r we fuck come way bad pebbl mess us khamoshi ko kamzori samjho nhi beta log,HOF
4626,look insensit piec shit doc i hope someon show video ever need oxygen cylind oho kuch bhi bol raha h yeh even know covid patient go,NONE
3867,who rana ayyub a scamster amp alleg journalist scam intern fake fund raiser this new style corrupt keep criticis modi caught call witch hunt,HOF
867,ration countri kitn chutiya log ha wahaa,HOF
2974,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind kuch pata hota nahi hai bhokna shuru kar dete hai kuch guidelin jo follow karn bola tha data secur jo ye kar nahi rahe isliy chalu hai ye thoda akkal ka upyog kijiy bas smartphon hath mai hai kuch bhi kachra na failay,HOF
1140,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai abe darpoko himmat nhi h saaf saaf bolo na kalli billi rasta katl toh waha se jate nhi ho dar ki wajah se vajpai तुम्हार अतांक नह है। गल नह काटते।। बस अंतर है।,HOF
997,this critic welcom i sure hindu go charli hebdo offic kill peopl that big differ usk liy ga guda hona chahiy wahi guda tere forefath mei hota toh convert na hote,NONE
1337,modi coward psycopath free wifi lac cctvs new school new colleg iska kya hua अंध भक्त जय । भड़व बोल सब जाएग प्रूफ किधर,HOF
541,cow urin disgust camel urain good chamch #pragyathakur wtf,HOF
1099,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai sorri buddi hinduism love hindutva,NONE
1132,no hindu still go attack charli hebdo pun fool like izlam bigot no one may love us hindutva love vajpai don't say fool you ok idol stone worship abus bcoz u know deep invent 😁😁,HOF
5563,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon galo hehraa jaldi get well soon sir,NONE
3527,agar pilot cockpit main cycl ka handl leke baitha ho toh hum kya karein gn cuti kunal forgotten beat got friend insult hanumanji do u rememb 😆😆😆😆😆😆 hanuman ji ne kuch nahi kaha lekin log violent kyu ho jate ho,NONE
2258,पहल बार बंगाल के लाख किस भाइय योज लाभ मिल शुर है। इत वर्ष किसान लाभ वंच रख गया। विषय जोरदार तरीक रख था। पीएम किस सम्म निध लाभ वह के किसान मिल लग संतोष विषय है। श्र thank give,NONE
4634,look insensit piec shit ima file fir guy truth sir sad complaint fir,NONE
2962,countri ban twitter china iran north korea turkmenistan modi ghulam bhakt want #bantwitterinindia amp make india join list whi declar india authoritarian regim drop facad democraci #istandwithtwitterind congress gulam dog alway bark everi decis taken goi,HOF
59,amplifi support retweet no casteist misogynist shit name stand up comedi show #arrest abish math hindus convert christian belong schedul cast funni thing convers make fun hinduism hindu peopl 😡 vijaysingh sabs jaada buddhism mai hai na ki christian mai vijaysingh,HOF
4841,disgust say least rahul gandhi want use opportun pandem destroy imag pm modi congress worker instruct call mutant strain modi strain no stone left unturn scar name india help foreign journalist where our vaccin 🙄 which compani made vaccin age year,NONE
1938,pleas identifi admonish bigot bigotri deserv love forgiv it deserv utmost honesti fearless if oppos bigot tomorrow becom cm put jail wors voic freedom mind don't kind evil siddharth bsdk first get urself clariti bigotri,HOF
5391,oxygen requir today sc hear matter next week citizen tv anchor bail hear citizen india life amp death struggl vs arnab goswami rowdyjourn got hear case sc quickest westbeng,NONE
5665,so mani ask may possibl repli individu updat it day covid infect earli patch lung i hospit recov well thank doctor amp medic caregiv pl take virus light see soon सुधीर सर जल्द ठीक होंग हम पूर्ण विश् 😊👍 भग प्राथ आपक लम्ब उम्र दे 🙏🙏🙏 मेर बेट ओर के ढेर प्यार 😘😘😘,NONE
4182,india need vaccin बि कागज नह लग । कागज ढूंढ़ ले ।,NONE
2813,twitter new east india compani pretend defend us nativ elect govt sell us largest bidder it law it decid law follow defi amp law made in short twitter decid india ru,NONE
5207,public fight covid pm fight elect peopl either vote foolish win elect malpractic visit gujarat judg you'll learn whose real foolish,HOF
5149,public fight covid pm fight elect public fight covid cm khela hobe,HOF
1078,all muslim christian peopl make fun hinduism charli hebdo cartoon know offens peopl rais question god capabl make oxygen help human rememb hindutva support charli hebdo stand islamist make fun prophet muhammad well charli hebdo talk india oxygen shortag sorri hindutva i see behead bomb attack sorri radic islam,HOF
4333,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। अर चोर पार्ट oxygen ऑडिट क्य भाग पाप मुह छुप नौबत आ गयी।। गोबर छाप ऑडिट कर सिर्फ सोशल मीड मुजर जगह ग्रहमंत्र बोल जांच आदेश क्य नह,HOF
3790,so delhi cm highlight acut oxygen shortag nation pm televis nation spoil record care orchestr pr exercis no apolog due hcm delhi answer due hon ble pm बच विधानसभ क्षेत्र जन के बोल ताक सच जान सके। वैक्स कीमत अलग अलग तौर क्यों। भाज फ्र वैक्स दे वाद है। नह देगी।,NONE
4368,मैं ऑक्सीजन मुफ्त वितरण करक क्षेत्रवास सेव लोग पंसद नह आय मुझपर झूठ आरोप लग मान न्यायालय मुझ बर है। जन सेव रह ध्य जन सेव केंद्र है। शायद बीजेप ना बोल दे के हाई कोर्ट मिल केजरीवाल सर 😷😷,NONE
